pubkey,nchannels,capacity,base,rate,alias
0204a2b95b4c208383d7f02e741a8bfd5b5b7e8bea8d1543b1255da8342d9f2c6b,52,64706841,1,0.01,BitcoinZAR.co.za
0204a4b7beb4d56905871c507b91dea7be98a482e40b33e706cd3ba1d6e8ab94a7,2,250000,1,0.01,daa_5215
0204b302712b89e9c8af327e7ec9ff5caa497e0ed61aeb9f3ccea0a07063f412fc,6,18376721,1,0.01,Digital
0204c4b86bd2212883140f31da8829f4db1dced8864d9fe995182c2d9e332cf95c,13,9275323,1,0.01,PsychedelicBart
0204fb2d33b8878acec21321b039e023fae53411571494391b0671b7fbc180e8d9,1,100000,1,1,Greyka1
0205160cc03c56ff1d0d96e5591f178bfdddde3ce4d425097a63e04f7e31a88472,3,1151443,1,0.01,RaspiBXDVN
0205205afce64e55f8b5ffdcae01ec00fe7c50909911ad82964254c777f862104c,1,29999,1,0.01,Scott4044
0205505e1394c61824b5f08ef7710e825c8b10283c6130279d1d6a943b37f8fc95,4,5500000,1,0.01,sats.stats
0205823109f3d6e1ac5f3e5ab41ab88bf463ffa7b59a81d07d8b688fb737e11955,30,59641715,1,0.01,PollTheCrowd.net
0205874e6562eb1193ef3a6a8a0a39e7261ee2d8cf497bd1e187664ee0e59e2b3c,3,9600000,1,0.01,
0205fcfa041fdab19d46f5a1dd071ff67c096e86c2db4c5539d623016aaccc315c,8,2600000,1,0.01,RIGBY
02060d0c8577cfc2a1962220a1cde4f623ca55ef80bd25e4be5a8b15fed78b11a3,2,636000,1,0.1,Punchbeef✅
020622b3c4a63617cad1d19c06da3d20054f102f4d220c1c33ea2f134e74040ae7,5,7010625,0.2628787019702237,0.01,Mea Fulgur
02062565958730df9f3e88ae46f8c772b0d13581a3309f9f3ab7e1e5e309bb2b87,1,2000,1,0.01,STREAMLINE
02063c72d0143d753c5ca7c5363067950602d394c99e837399c34febbd3870cc0e,2,132009,1,0.01,C64
020643389fcc1d9fa7a656f04218f0758f90922a03430a777c4de231d8f8a95772,25,10862876,0.42,0.01,Zilina-Slovakia-North
02065e25c272203440b66ea0ba66601d1248564554d0a68472b82511af54288120,53,177492419,0,0.010368879923823675,Platform9and3quarters
02066255c6f8f98db48e23bbbdacd7a9d1679f7a02f9f5c9b946043d736c7faf65,4,14900000,1,0.01,Sushi
0206722d0f786ae2bf4779675b5b7d91ae334fc59992f98528f30a83b91e3c8b8f,11,34375549,0,2,Madhyamaka☸️
020675f1b6a63a748f8f674400e94472307d0204352238b17375777e6b89aef047,2,638367,0.7996763617166928,0.01,decap
02067a5b7c24bd95dd41c85fd07c604b87924185d973f29c33937e7ef822b10fb3,5,4796776,1,0.01,OpenLN1.A
02068bdced33742b89b373bc95ddbfda9db45abb204b7f3728771754f50ec108f0,3,1225000,1,0.01,Alden
0206c52fb5cec665369fc201b877fc8742b0926a83e5d514caaa0531ba7c615f80,1,2000000,1,0.01,Espen11-RaspiBlitz
0206c7b60457550f512d80ecdd9fb6eb798ce7e91bf6ec08ad9c53d72e94ef620d,6,13773047,1,0.1,SCOTTSHAPIRO.COM
0206d8c96281028c4b9b9ca1a77369d67a524c611a0a14aaf8d725aab98274fd8e,1,57000,1,0.01,
0206ee81d2906577e0f9217279eda8c08b86b44a2bd6a6f207947dcbce875be18c,27,13131497,0.5972360237374308,0.01,WilderLightning
0206f610de7dcf9098b537cb4b331a5e26d858b173d64004acc0030ff792c32e8b,2,150000,1,0.01,chargingblindly
02071db5e3dfcfac56831d297bd8c6c65675a6cecd87ab393457480d8f3de25f33,1,3000000,0,0.1,IAmSancho
0207424cbcff4ad45735a617c12f0d4fb1f559c7032d6c14df258cd52d3bd991d3,1,16777215,1,1,Thor
020744acf5babb323c1c11660e97ed5b7757c76f86f61641b2163b963f786932cf,2,434352,1,0.01,supahnode
0207894afcc88271476647b8d45c746d4017c2e39ab09b84cae094b65b384df17a,3,1445116,1,0.01,bitcoblitz
02079d5f3accf391fc9d4797e8eb39da5a16e6476cc4de89209cb0015844b49bb6,8,7889273,1,0.01,znd
0207a719cae1f95281a167b629f0104d75344ef0cf151dc517808b77547e6a84a9,5,2000000,1,0.01,tomazo
0207b6076d08e71336aec4af9933651dc9894b89c13ff2c286a9cf3ccc233e9ca9,8,1215924,1,0.1,ROCALIGHTNING
0207d0a7c4cc8dc96b650ea96fa455de3e2afa7bcc220154281fa8122b2dcde610,5,2932387,1,0.1,Ryan-Byovault.com
0207e3596b73bba77c25c636c8c669fe1928f1e6b1c21585975acdd33ca9790c55,1,5000000,1,0.01,Ironforge
0207ed508844c80bf90a89f4b74bf42d2b3101ebbf0108032f608756ef00f58899,8,1282837,1,0.01,0207ed508844c80bf90a
0207f999871315c74e83de1f15a0f6c4be12fc0eb4aeaeaed580cdb0102947a584,7,19807689,1,0.01,Voody
0208253298ed55d449e496a79022c98055045395aedb74acd9b8c566ce517ed0e0,11,1203786,0.17850232516410725,0.01,BTCRpiBlitz
020835cc718586b77d8f8d51603330cc9676dae5ed3b4c2802e1b577ff9cc9c2f7,3,4600000,1,0.01,uriftt
02083e55c359ad6d423c0f63821f3230c64aa9089b81c6cf7702d3ba6272ff6c96,6,11115000,1,0.01,Dreamer [LND]
02085a614ae7c0a5d29fc4ac192dc73887ad024cca78f62f138ac277dd5cd06fa1,1,100000,1,0.01,
02087384bbcbab7b57756e8809d7741b3632b405a197cbcbb9270bd8fa9cea2dd3,2,220000,1,0.01,InCodeWeTrust
0208ab52377f7976c82bc20cc0d8edc295e046714b1f781ee9cdbd3ead368401a8,2,76303,1,0.01,0208ab52377f7976c82b
0208afe8bcd72e7b8b06ae8765b99908930bd275eeaf4fe73d50afa6491e41b20d,19,15075573,1,0.01,AshNode
0208b5c70e635cde43dcc8e619d0fcb0273224aa6caa45bde28e8eafe720ec9f2f,39,16336549,1,0.01,nodeforge
0208cec119172de2831b292aa73c5e0a368b427fa5d6d519a0ed3b9093998ed926,14,13900000,1,0.01,CryptoCousins
0208d142e09411fca84c73174f88e88bc02c2710726427a8c8a7bb32ccb1c9d9c0,2,5100000,1,0.1,Bugers LN node
0208e8be044dd20c6f63965a3b4f77e00286aba286ba131a8b6363dbb1a7eba976,2,66127,1,0.01,CoolBaron
0208fbcafddef7e746ff727c2244b854a7f18a52f9ce9a03724a190cc5b999313a,4,6085710,0.001,0.1,
02091e45e3fe8d18f2da5a0ff81873a52410128116e402fd872dde6ae21d535956,5,5661861,1,0.01,GivenLightning
020994dd12d51dd6effa92f76e7f390330f549a1a6a3da222f3ab3c14b4ad1abae,1,100000,1,0.1,
0209b7882b576a18e5fc8439aa7fb1f04f0b27d99cfa26c33541cccafff514e802,1,51637,1,0.01,daniel_wwf
0209bbe163eed4317a06077c8e410985398b93748728c0ab5c1a34cabc74084c83,6,3741048,1,0.01,Sudo
0209cc463cbafb279e851e53e8215a6b14cc30845643c797f21531af0d54407f52,3,398298,1,0.01,
